순위,제목,출시날짜,장르1,장르2
206,口袋妖怪xy,2013,RPG,기타
207,Age of Empires II: Definitive Edition,2019,전략,
208,Gunfire Reborn,2020,인디,
209,Forza Horizon 4,2021,레이싱,
210,Castle Crashers,2012,액션,플랫폼
211,无冬镇物语,,인디,
212,2048,2018,퍼즐,
213,鬼泣4,2008,RPG,
214,重装机兵2,,인디,
215,The King of Fighters XIV,2016,액션,격투
216,艾尔登法环,,RPG,
217,国王的恩赐2,2021,전략,
218,Chinese Parents,,전략,시뮬레이션
219,超凡蜘蛛侠2,,RPG,
220,Resident Evil 5,2018,슈팅,
221,WILL：美好世界,2017,인디,
222,METAL GEAR SOLID V：THE PHANTOM PAIN,2016,액션,어드벤쳐
223,Need for Speed：Most Wanted,2012,레이싱,
224,XuanYuan Sword Ⅶ,2020,RPG,
225,Witch It,2020,액션,기타
226,Dynasty Warriors 8 Xtreme Legends,2014,액션,격투
227,GUILTY GEAR,,액션,격투
228,Tom Clancy's Ghost Recon® Wildlands,2017,슈팅,
229,Bright memory,2020,슈팅,
230,Eternal Legend,,RPG,
231,战国兰斯,,전략,
232,路易吉洋馆3,,액션,어드벤쳐
233,battlefield 3,,슈팅,
234,Precursors,2017,슈팅,
235,Planet Coaster,2016,전략,시뮬레이션
236,Internet Cafe Simulator,2019,전략,오픈월드
237,Crysis,2007,슈팅,
238,Animal Crossing,,전략,시뮬레이션
239,Frostpunk,2018,전략,
240,Ring Fit Adventure,,스포츠,기타
241,Kings of Lorn: The Fall of Ebris,2019,액션,기타
242,魔女之家,2018,인디,
243,魔兽争霸3：重制版,2020,전략,
244,Grand Theft Auto VI,,전략,오픈월드
245,Assassin's Creed® Syndicate,2015,액션,기타
246,Call of Duty:Black Ops 4,2019,슈팅,
247,战国无双5,2021,액션,기타
248,Divinity: Original Sin,2015,RPG,
249,坦克!!!,,슈팅,坦克
250,冒险岛3,,액션,어드벤쳐
251,celeste,2018,인디,
252,The Last of Us,2018,RPG,
253,The Escapists,2015,전략,시뮬레이션
254,重装机兵3,,인디,
255,Kingdom Rush,2014,전략,
256,Fireworks Simulator:Realistic,2020,전략,시뮬레이션
257,WATCH,2020,퍼즐,解谜
258,FINAL FANTASY XVI,,RPG,
259,Five Nights At Freddy's,2014,RPG,
260,沙漠风暴,,인디,
261,A Mazeing Tower Defense,2017,전략,塔防
262,Paper Dolls 2,2020,RPG,
263,Red Dead Online,2020,슈팅,
264,Command & Conquer Red Alert 3 Uprising,2009,전략,
265,Demon's Souls,,RPG,
266,Bloons TD 6,2018,전략,放置
267,To The Moon,2011,인디,
268,The Legend Of Three Kingdoms,2020,전략,
269,Sniper Elite,2005,슈팅,
270,Remnant: From the Ashes,2019,슈팅,
271,Stealth,2019,액션,어드벤쳐
272,Sword and Fairy 7,2021,RPG,
273,杀手,2016,액션,기타
274,Yakuza 0,,액션,어드벤쳐
275,Overcooked,2016,퍼즐,灵敏
276,骨头镇,,RPG,
277,Tribes of Midgard,2021,액션,어드벤쳐
278,Baby Coyote,2020,인디,
279,Command And Conquer Red Alert Ⅱ:Republic Brilliant,,전략,
280,Marvels Spider-Man,2019,액션,어드벤쳐
281,鸭王争霸赛,2015,액션,기타
282,卡车人生,2020,전략,시뮬레이션
283,Portal Knights,2017,인디,
284,The Evil Within 2,2017,슈팅,
285,Dead Rising 4,2017,슈팅,
286,最后纪元,2019,인디,
287,武装突袭,2011,슈팅,飞机
288,Library Of Ruina,2020,전략,卡片
289,火影忍者究极风暴,2017,액션,격투
290,The Room,2014,인디,
291,Moonlighter,2018,RPG,기타
292,Horizon Zero Dawn,2020,전략,오픈월드
293,Back 4 Blood,2021,슈팅,
294,画中世界,2017,퍼즐,기타
295,Plants vs. Zombies,,퍼즐,기타
296,CryoFall,2019,전략,시뮬레이션
297,无双大蛇3-终极版,,액션,기타
298,雀姬,2019,보드,麻将
299,极限国度,,스포츠,기타
300,Rusty Lake Hotel,2016,퍼즐,
301,GunWorld,2014,액션,플랫폼
302,Reigns,2016,인디,
303,掠食,2017,액션,기타
304,Crusader Kings II,2012,전략,
305,Firework,2021,RPG,기타
306,Wars Across The World,2017,전략,
307,BUS SIMULATOR,2019,전략,시뮬레이션
308,The Mist,2019,인디,
309,野球拳,2020,전략,卡片
310,Mass Effect Legendary Edition,2021,슈팅,
311,觅长生,2019,전략,
312,The Song of Saya,2019,인디,
313,Hyrule Warriors: Age of Calamity,,액션,어드벤쳐
314,YumeCore,2018,액션,기타
315,DEAD OR ALIVE XTREME,,스포츠,기타
316,LEGO® Jurassic World,2015,퍼즐,
317,Until We Die,,전략,시뮬레이션
318,Hungry Shark World,,퍼즐,
319,Gears 5,2019,슈팅,
320,Unheard,2019,RPG,기타
321,Forts,2017,퍼즐,
322,Devil May Cry® 3 ,2006,RPG,
323,Orcs Must Die,2011,슈팅,
324,大航海时代2,2017,인디,
325,60 Parsecs!,2018,인디,
326,三国志汉末霸业,2021,전략,시뮬레이션
327,迷宫,2019,퍼즐,
328,节奏光剑,2019,리듬,音乐
329,Final Fantasy Ⅳ,,인디,
330,Chronicon,2020,RPG,
331,海沙风云,,퍼즐,观察
332,Hyrule Warriors,,RPG,
333,Door Kickers 2：Task Force North,2020,슈팅,
334,BlazBlue Continuum Shift,2017,액션,격투
335,Fieldrunners,2012,전략,
336,三角洲特种部队,1998,슈팅,
337,Samsara Room,2020,인디,
338,Home Land,2019,슈팅,
339,DMC: Devil May Cry,2013,액션,기타
340,What Remains of Edith Finch,2017,RPG,기타
341,DiRT 4,2017,레이싱,
342,Deltarune,,RPG,기타
343,One Piece：Kaizoku Musou,,액션,기타
344,快乐小鸡,2020,퍼즐,기타
345,最终幻想2,,인디,
346,现代战争5,2018,슈팅,
347,The Crew 2,2018,레이싱,
348,FINAL FANTASY III,2014,인디,
349,F.E.A.R,2005,슈팅,
350,Death Trash,2021,인디,
351,The Piano,2018,액션,어드벤쳐
352,Living in the Ending World,2020,전략,시뮬레이션
353,Bonfire,2020,RPG,
354,Yakuza: Kiwami,2019,RPG,
355,Assassin's Creed® III Remastered,,액션,어드벤쳐
356,Empires of the Undergrowth,2017,전략,시뮬레이션
357,进化之地2,2015,RPG,
358,最终幻想9,,인디,
359,冰汽时代2,,인디,
360,Primal Carnage,2012,슈팅,기타
361,核爆RPG,,RPG,기타
362,噬神者3,,RPG,
363,饥饿派画家,2017,전략,시뮬레이션
364,时空之轮,,RPG,기타
365,LEGO WorldsTraveller's Tales,,전략,오픈월드
366,Rebirth,2020,RPG,
367,Shadow Tactics:Blades of the Shogun,2016,액션,기타
368,战斧,,RPG,
369,N1RV Ann-A: Cyberpunk Bartender Action,,퍼즐,观察
370,BIOMUTANT,2021,RPG,
371,Isoland,2018,퍼즐,解谜
372,属性与生活,2018,전략,시뮬레이션
373,Empires,2017,액션,어드벤쳐
374,Bayonetta 3,,액션,기타
375,Neverwinter Nights:Enhanced Edition,2018,RPG,기타
376,Early Access Roadmap,2021,전략,
377,Men of War,2009,전략,
378,最终幻想6,,인디,
379,绝境北方,2018,전략,
380,彩虹坠入,2018,인디,
381,三国志2,,전략,
382,Wildermyth,2019,전략,시뮬레이션
383,Dawn of Light,2021,슈팅,기타
384,Just Dance,,리듬,舞蹈
385,情热传说,2015,RPG,기타
386,模拟帝国,2019,전략,시뮬레이션
387,Vampire: The Masquerade Bloodlines 2,,RPG,
388,龙珠大冒险,,액션,기타
389,Halo:The Master Chief Collection ,2019,슈팅,
390,Door Kickers,2014,인디,
391,World of Goo,2008,인디,
392,DRAGON BALL FighterZ,2018,액션,격투
393,When a man lose his job,2021,전략,시뮬레이션
394,Poco In,2020,RPG,
395,Ninja Gaiden 3,,액션,격투
396,Virtual Families,2009,전략,시뮬레이션
397,BERSERK and the Band of the Hawk,2017,인디,
398,Crysis 2,2011,슈팅,
399,Total War: Attila,2015,전략,
400,Dead Rising 2,2010,슈팅,
401,Notes of Soul,2019,RPG,
402,Truck Driver,,전략,시뮬레이션
